codigo,nombre,centro,almacen,libre,inspeccion,bloqueado,traslado,total
W73001AT1003,IML 01G M3 WH 50LIH 4C MONTAJE 23ART,RH01,4000.0,149540.0,0.0,0.0,0.0,149540.0
W73001SHH001,IML 01G R1 WH 50LIW 5C ULTRARENDID 24SHW,RH01,4000.0,149490.0,0.0,0.0,0.0,149490.0
W73001TS3003,IML 01G R1 WH 50LIW 5C PASTA MURO 24TRA,RH01,4000.0,148090.0,0.0,0.0,0.0,148090.0
W73004TRH002,IML 04G P3 WH 70ELR 5C PMAX ESMSEM 23TRI,RH01,4000.0,146450.0,0.0,0.0,0.0,146450.0
W73004TSA004,IML 04G P3 WH 70ELR 4C TOPEX AC 23TRA,RH01,4000.0,145700.0,0.0,0.0,0.0,145700.0
W73004LNH001,IML 04G P3 GF 70LMG 5C SUPERIOR MF 23LAN,RH01,4000.0,142640.0,0.0,0.0,0.0,142640.0
N25004042205,ETIQ AUT CIRCULAR ROJO 485C 50MM,RH01,4000.0,142020.0,0.0,0.0,0.0,142020.0
W73004CEI003,IML 04G P3 WH 70ELR 4C EAA COSNTRU 24CER,RH01,4000.0,141000.0,0.0,0.0,0.0,141000.0
W73005LN1003,IML 05G P3 HG 70ELR 5C EAA TOPEX 24LAN,RH01,4000.0,140320.0,0.0,0.0,0.0,140320.0
W73020EXP003,IML 20L PG WH 70ELR 7C LEGEND 1350 23EXX,RH01,4000.0,140020.0,0.0,0.0,0.0,140020.0
W73010AI6005,IML 10L P3 WH 70LMG 4C BEKRON AC 24AIS,RH01,4000.0,139960.0,0.0,0.0,0.0,139960.0
W73005SIM004,IML 05G P3 WH 70ELR 5C EA TEC 25CER,RH01,4000.0,139510.0,0.0,0.0,0.0,139510.0
W73005PE5003,IML 05G R3 HG 70ELR 4C INDIANA 22ESM,RH01,4000.0,138250.0,0.0,0.0,0.0,138250.0
W73005TPK001,IML 05G R3 HG 70ELR 4C GENERICO 19 25TOT,RH01,4000.0,137410.0,0.0,0.0,0.0,137410.0
W73001WB4001,IML 01G M3 WH 50LIH 4C MPJF JUNPLA 25WEB,RH01,4000.0,136380.0,0.0,0.0,0.0,136380.0
W73004SHD002,IML 04G P3 MF 70ELR 5C ESM A SAT 25SHW,RH01,4000.0,135580.0,0.0,0.0,0.0,135580.0
W73010SO2005,IML 10L P3 WH 70ELR 5C TOPEX AC 24WEB,RH01,4000.0,134920.0,0.0,0.0,0.0,134920.0
W73004WB8003,IML 04G P3 WH 70ELR 4C PORCELAN DA 25WEB,RH01,4000.0,134710.0,0.0,0.0,0.0,134710.0
W73004CE9002,IML 04G P3 WH 70ELR 5C USO GRAL 24CER,RH01,4000.0,132850.0,0.0,0.0,0.0,132850.0
W73004TRQ001,IML 04G P3 WH 70ELR 4C FAST EAA SA 24TRI,RH01,4000.0,132280.0,0.0,0.0,0.0,132280.0
